id,type_of_vehicles,capacity,departure_time,latest_arrival_time,max_duration_hours,station_id,specialisation_of_vehicle
1,Van_2.5_Tonne,150,2026-05-15T06:00:00,2026-05-15T22:00:00,16,KAR-DS,ambient
2,Van_4.5_Tonne,150,2026-05-15T08:00:00,2026-05-15T18:00:00,10,KAR-DS,refrigerated
3,Van_2.5_Tonne,150,2026-05-15T06:00:00,2026-05-15T22:00:00,16,KAR-DS,refrigerated
4,Van_2.5_Tonne,150,2026-05-15T06:00:00,2026-05-15T22:00:00,16,KAB-DS,ambient
5,Van_2.5_Tonne,150,2026-05-15T06:30:00,2026-05-15T22:00:00,16,KAB-DS,refrigerated
6,Van_2.5_Tonne,150,2026-05-15T06:30:00,2026-05-15T22:00:00,16,KAB-DS,refrigerated
7,Van_2.5_Tonne,150,2026-05-15T06:00:00,2026-05-15T22:00:00,16,JUM-DS,ambient
8,Van_2.5_Tonne,150,2026-05-15T06:00:00,2026-05-15T22:00:00,16,JUM-DS,refrigerated
9,Van_2.5_Tonne,150,2026-05-15T06:00:00,2026-05-15T22:00:00,16,JUM-DS,refrigerated
10,Van_2.5_Tonne,150,2026-05-15T06:30:00,2026-05-15T22:00:00,16,QUS-DS,ambient
11,Van_2.5_Tonne,150,2026-05-15T06:00:00,2026-05-15T22:00:00,16,QUS-DS,ambient
12,Van_2.5_Tonne,150,2026-05-15T06:00:00,2026-05-15T22:00:00,16,QUS-DS,refrigerated
13,Van_2.5_Tonne,150,2026-05-15T06:30:00,2026-05-15T22:00:00,16,NAH-DS,ambient
14,Van_2.5_Tonne,150,2026-05-15T06:30:00,2026-05-15T22:00:00,16,NAH-DS,ambient
15,Van_2.5_Tonne,150,2026-05-15T06:00:00,2026-05-15T22:00:00,16,NAH-DS,refrigerated
