id,station_id,name,latitude,longitude,demand,min_start_time,max_end_time,service_duration_minutes,commodity_tag,speed_tag
1,KAR-DS,JAFZA Gate 1,25.0064,55.0853,2,2026-05-15T08:00:00,2026-05-15T12:00:00,20,ambient,prime
2,KAR-DS,Al Quoz Industrial 4,25.1386,55.2198,1,2026-05-15T09:00:00,2026-05-15T17:00:00,15,ambient,standard
41,KAR-DS,Al Quoz Industrial 4,25.1386,55.2198,2,2026-05-15T09:00:00,2026-05-15T17:00:00,15,refrigerated,prime
3,KAR-DS,Deira Fish Market,25.2746,55.3203,3,2026-05-15T07:00:00,2026-05-15T11:00:00,30,refrigerated,prime
4,KAR-DS,Business Bay Tower D,25.1859,55.2643,2,2026-05-15T08:00:00,2026-05-15T16:00:00,20,ambient,prime
5,KAR-DS,Dubai Silicon Oasis,25.1172,55.3797,4,2026-05-15T07:00:00,2026-05-15T18:00:00,45,ambient,standard
6,KAR-DS,Jumeirah Beach Rd,25.2135,55.242,1,2026-05-15T09:00:00,2026-05-15T11:00:00,15,ambient,prime
7,KAR-DS,Al Barsha Mall Area,25.1111,55.2016,2,2026-05-15T13:00:00,2026-05-15T17:00:00,30,ambient,prime
8,KAB-DS,Dubai Healthcare City,25.233,55.3183,5,2026-05-15T08:00:00,2026-05-15T12:00:00,60,refrigerated,standard
9,KAB-DS,International City Phase 2,25.1659,55.4086,2,2026-05-15T09:00:00,2026-05-15T15:00:00,25,ambient,prime
10,KAB-DS,Ras Al Khor Industrial,25.1938,55.3491,1,2026-05-15T10:00:00,2026-05-15T18:00:00,10,ambient,prime
11,KAB-DS,Dubai Investment Park,24.9948,55.166,2,2026-05-15T09:00:00,2026-05-15T12:00:00,20,ambient,standard
12,KAB-DS,Creek Harbour,25.2097,55.3432,1,2026-05-15T15:00:00,2026-05-15T19:00:00,45,ambient,prime
13,KAB-DS,Al Nahda Sharjah Border,25.3069,55.3916,3,2026-05-15T10:00:00,2026-05-15T16:00:00,30,ambient,prime
14,KAB-DS,Jebel Ali Port,24.9963,55.0541,1,2026-05-15T08:00:00,2026-05-15T17:00:00,15,refrigerated,standard
15,KAB-DS,Motor City Dubai,25.0532,55.2287,4,2026-05-15T08:00:00,2026-05-15T18:00:00,20,ambient,prime
16,KAB-DS,Al Mamzar Beach Park,25.286,55.3352,2,2026-05-15T12:00:00,2026-05-15T15:00:00,30,ambient,prime
17,KAB-DS,Mirdif City Centre,25.2175,55.4084,5,2026-05-15T10:00:00,2026-05-15T20:00:00,60,ambient,standard
18,JUM-DS,Dubai Studio City,25.0744,55.1562,2,2026-05-15T09:00:00,2026-05-15T14:00:00,20,refrigerated,prime
19,JUM-DS,Al Quoz Pond Park,25.1502,55.2297,1,2026-05-15T14:00:00,2026-05-15T18:00:00,15,ambient,prime
20,JUM-DS,DIFC Gate Village,25.2136,55.2846,3,2026-05-15T08:00:00,2026-05-15T20:00:00,90,ambient,standard
21,JUM-DS,Sheikh Zayed Road km8,25.1759,55.2541,5,2026-05-15T08:00:00,2026-05-15T12:00:00,30,ambient,prime
22,JUM-DS,Nad Al Sheba,25.147,55.3149,2,2026-05-15T09:00:00,2026-05-15T17:00:00,15,ambient,prime
23,JUM-DS,Al Warqa City,25.2068,55.3867,1,2026-05-15T10:00:00,2026-05-15T15:00:00,20,ambient,standard
24,QUS-DS,Dubai Production City,25.0202,55.1771,3,2026-05-15T08:30:00,2026-05-15T16:30:00,25,ambient,prime
25,QUS-DS,The Palm Trunk,25.1062,55.1369,2,2026-05-15T11:00:00,2026-05-15T14:00:00,20,refrigerated,prime
26,QUS-DS,Dubai Maritime City,25.2573,55.2961,1,2026-05-15T09:00:00,2026-05-15T18:00:00,15,ambient,standard
27,QUS-DS,Al Khawaneej,25.2364,55.4397,4,2026-05-15T08:00:00,2026-05-15T12:00:00,45,ambient,prime
28,QUS-DS,Bluewaters Island,25.0824,55.1236,1,2026-05-15T13:00:00,2026-05-15T17:00:00,15,ambient,prime
29,QUS-DS,Remraam Community,24.9755,55.1855,2,2026-05-15T09:00:00,2026-05-15T15:00:00,30,ambient,standard
30,QUS-DS,Al Furjan West,25.0289,55.1673,1,2026-05-15T10:00:00,2026-05-15T16:00:00,20,Frozen,prime
31,QUS-DS,Oud Metha Hospital,25.2286,55.3101,3,2026-05-15T09:00:00,2026-05-15T13:00:00,25,Frozen,prime
32,QUS-DS,Jumeirah Village Circle,25.0606,55.2078,2,2026-05-15T14:00:00,2026-05-15T18:00:00,20,ambient,standard
33,NAH-DS,Dubai World Trade Centre,25.2223,55.2859,1,2026-05-15T08:00:00,2026-05-15T12:00:00,15,ambient,prime
34,NAH-DS,Jebel Ali Free Zone South,24.9892,55.0742,4,2026-05-15T09:00:00,2026-05-15T17:00:00,40,ambient,prime
35,NAH-DS,Al Safa Park,25.1864,55.2407,2,2026-05-15T10:00:00,2026-05-15T14:00:00,25,refrigerated,standard
36,NAH-DS,Dubai South Expo,24.8936,55.0789,1,2026-05-15T11:00:00,2026-05-15T15:00:00,15,refrigerated,prime
37,NAH-DS,Al Rigga Metro,25.2642,55.3218,3,2026-05-15T08:00:00,2026-05-15T16:00:00,30,refrigerated,prime
38,NAH-DS,Town Square,25.0263,55.2538,2,2026-05-15T12:00:00,2026-05-15T17:00:00,20,refrigerated,standard
39,NAH-DS,Mudon Community,25.0251,55.2687,1,2026-05-15T09:00:00,2026-05-15T13:00:00,15,Frozen,prime
40,NAH-DS,Dubai Creek Golf Club,25.2378,55.3344,5,2026-05-15T10:00:00,2026-05-15T18:00:00,50,Frozen,prime
